graph_id,run,k,2core_flag,runtime_ms,cycles,paths
5,1,11, false,1861.546000000, 7802,476318| 1902690
6,0,11, false,1803.262000000, 7532,479690| 1910740
6,1,11, false,1812.518000000, 7532,479690| 1910740
7,0,11, false,1850.310000000, 7104,467732| 1855028
7,1,11, false,1827.968000000, 7104,467732| 1855028
8,0,11, false,1919.096000000, 9006,507770| 2046188
8,1,11, false,1910.489000000, 9006,507770| 2046188
9,0,11, false,1880.332000000, 7968,487260| 1950110
9,1,11, false,1841.544000000, 7968,487260| 1950110
0,0,12, false,1919.339000000, 18562,1396316
0,1,12, false,1918.938000000, 18562,1396316
1,0,12, false,2006.929000000, 19793,1430808
1,1,12, false,1950.792000000, 19793,1430808
2,0,12, false,2329.559000000, 25494,1571130
2,1,12, false,2150.473000000, 25494,1571130
3,0,12, false,2126.271000000, 24628,1525066
3,1,12, false,2131.426000000, 24628,1525066
4,0,12, false,1813.439000000, 16227,1343846
4,1,12, false,1816.083000000, 16227,1343846
5,0,12, false,2014.967000000, 21634,1426372
5,1,12, false,1970.764000000, 21634,1426372
6,0,12, false,1956.886000000, 20584,1431050
6,1,12, false,1979.998000000, 20584,1431050
7,0,12, false,1943.132000000, 18750,1387296
7,1,12, false,1896.925000000, 18750,1387296
8,0,12, false,2100.642000000, 24985,1538418
8,1,12, false,2187.775000000, 24985,1538418
9,0,12, false,1994.792000000, 21860,1462850
9,1,12, false,2053.859000000, 21860,1462850
0,0,13, false,5278.259000000, 50746,1396316| 5525034
0,1,13, false,5348.164000000, 50746,1396316| 5525034
1,0,13, false,5493.724000000, 55118,1430808| 5685544
1,1,13, false,5510.022000000, 55118,1430808| 5685544
2,0,13, false,6033.622000000, 71228,1571130| 6339364
2,1,13, false,6032.100000000, 71228,1571130| 6339364
3,0,13, false,5816.546000000, 68708,1525066| 6140608
3,1,13, false,5796.608000000, 68708,1525066| 6140608
4,0,13, false,5148.197000000, 43885,1343846| 5268518
4,1,13, false,5110.763000000, 43885,1343846| 5268518
5,0,13, false,5477.149000000, 59582,1426372| 5695748
5,1,13, false,5493.046000000, 59582,1426372| 5695748
6,0,13, false,5409.840000000, 56434,1431050| 5695810
6,1,13, false,5416.405000000, 56434,1431050| 5695810
7,0,13, false,5298.115000000, 51505,1387296| 5492348
7,1,13, false,5322.295000000, 51505,1387296| 5492348
8,0,13, false,5902.288000000, 69219,1538418| 6196070
8,1,13, false,6078.444000000, 69219,1538418| 6196070
9,0,13, false,5543.421000000, 60770,1462850| 5849894
9,1,13, false,5562.813000000, 60770,1462850| 5849894
0,0,14, false,6142.625000000, 138645,4128718
0,1,14, false,6150.077000000, 138645,4128718
1,0,14, false,6387.071000000, 150053,4254736
1,1,14, false,6345.022000000, 150053,4254736
2,0,14, false,7321.853000000, 198666,4768234
2,1,14, false,7338.306000000, 198666,4768234
3,0,14, false,6939.893000000, 191298,4615542
3,1,14, false,6951.597000000, 191298,4615542
4,0,14, false,5817.503000000, 117837,3924672
4,1,14, false,5780.935000000, 117837,3924672
5,0,14, false,6572.120000000, 163145,4269376
5,1,14, false,6574.490000000, 163145,4269376
6,0,14, false,6420.021000000, 155067,4264760
6,1,14, false,6482.226000000, 155067,4264760
7,0,14, false,6161.567000000, 140430,4105052
7,1,14, false,6217.526000000, 140430,4105052
8,0,14, false,7180.500000000, 193137,4657652
8,1,14, false,7179.147000000, 193137,4657652
9,0,14, false,6667.892000000, 167576,4387044
9,1,14, false,6657.000000000, 167576,4387044
0,0,3, true,20.354000000, 2,5286| 21220
0,1,3, true,19.715000000, 2,5286| 21220
1,0,3, true,19.915000000, 5,5300| 21148
1,1,3, true,21.202000000, 5,5300| 21148
2,0,3, true,19.609000000, 5,5258| 21228
2,1,3, true,18.883000000, 5,5258| 21228
3,0,3, true,19.739000000, 7,5286| 21378
3,1,3, true,18.976000000, 7,5286| 21378
4,0,3, true,19.501000000, 4,5320| 21202
4,1,3, true,19.685000000, 4,5320| 21202
5,0,3, true,19.532000000, 7,5340| 21154
5,1,3, true,18.980000000, 7,5340| 21154
6,0,3, true,20.175000000, 5,5338| 21338
6,1,3, true,21.767000000, 5,5338| 21338
7,0,3, true,19.999000000, 6,5330| 21132
7,1,3, true,19.035000000, 6,5330| 21132
8,0,3, true,19.225000000, 6,5318| 21414
8,1,3, true,19.293000000, 6,5318| 21414
9,0,3, true,20.429000000, 5,5290| 21136
9,1,3, true,19.265000000, 5,5290| 21136
0,0,4, true,18.388000000, 11,15934
0,1,4, true,18.394000000, 11,15934
1,0,4, true,18.342000000, 9,15848
1,1,4, true,18.612000000, 9,15848
2,0,4, true,18.786000000, 12,15970
2,1,4, true,18.907000000, 12,15970
3,0,4, true,18.695000000, 9,16092
3,1,4, true,18.673000000, 9,16092
4,0,4, true,18.762000000, 7,15882
4,1,4, true,18.247000000, 7,15882
5,0,4, true,18.513000000, 9,15814
5,1,4, true,19.045000000, 9,15814
6,0,4, true,18.860000000, 14,16000
6,1,4, true,20.549000000, 14,16000
7,0,4, true,19.010000000, 8,15802
7,1,4, true,18.721000000, 8,15802
8,0,4, true,18.877000000, 14,16096
8,1,4, true,19.178000000, 14,16096
9,0,4, true,18.934000000, 13,15846
9,1,4, true,52.790000000, 13,15846
0,0,5, true,50.060000000, 28,15934| 63368
0,1,5, true,52.634000000, 28,15934| 63368
1,0,5, true,49.765000000, 34,15848| 63264
1,1,5, true,54.253000000, 34,15848| 63264
2,0,5, true,50.322000000, 21,15970| 64694
2,1,5, true,50.257000000, 21,15970| 64694
3,0,5, true,56.706000000, 15,16092| 64788
3,1,5, true,49.803000000, 15,16092| 64788
4,0,5, true,50.811000000, 18,15882| 62740
4,1,5, true,53.695000000, 18,15882| 62740
5,0,5, true,50.948000000, 21,15814| 63088
5,1,5, true,50.006000000, 21,15814| 63088
6,0,5, true,54.624000000, 22,16000| 63870
6,1,5, true,57.139000000, 22,16000| 63870
7,0,5, true,49.749000000, 23,15802| 62740
7,1,5, true,53.099000000, 23,15802| 62740
8,0,5, true,50.036000000, 27,16096| 64902
8,1,5, true,51.851000000, 27,16096| 64902
9,0,5, true,54.490000000, 23,15846| 63370
9,1,5, true,48.933000000, 23,15846| 63370
0,0,6, true,46.356000000, 40,47434
0,1,6, true,50.461000000, 40,47434
1,0,6, true,47.509000000, 68,47416
1,1,6, true,51.902000000, 68,47416
2,0,6, true,48.053000000, 63,48724
2,1,6, true,52.014000000, 63,48724
3,0,6, true,46.530000000, 55,48696
3,1,6, true,46.764000000, 55,48696
4,0,6, true,50.682000000, 71,46858
4,1,6, true,45.509000000, 71,46858
5,0,6, true,49.972000000, 54,47274
5,1,6, true,46.299000000, 54,47274
6,0,6, true,51.273000000, 68,47870
6,1,6, true,47.088000000, 68,47870
7,0,6, true,50.944000000, 62,46938
7,1,6, true,45.831000000, 62,46938
8,0,6, true,47.536000000, 54,48806
8,1,6, true,52.386000000, 54,48806
9,0,6, true,45.621000000, 60,47524
9,1,6, true,47.471000000, 60,47524
0,0,7, true,166.328000000, 128,47434| 187914
0,1,7, true,169.041000000, 128,47434| 187914
1,0,7, true,158.174000000, 157,47416| 189006
1,1,7, true,159.356000000, 157,47416| 189006
2,0,7, true,165.452000000, 178,48724| 197460
2,1,7, true,166.591000000, 178,48724| 197460
3,0,7, true,165.399000000, 158,48696| 196174
3,1,7, true,166.529000000, 158,48696| 196174
4,0,7, true,154.817000000, 143,46858| 184686
4,1,7, true,160.614000000, 143,46858| 184686
5,0,7, true,156.623000000, 153,47274| 188682
5,1,7, true,157.939000000, 153,47274| 188682
6,0,7, true,160.157000000, 156,47870| 191064
6,1,7, true,170.911000000, 156,47870| 191064
7,0,7, true,213.209000000, 130,46938| 186346
7,1,7, true,200.240000000, 130,46938| 186346
8,0,7, true,242.284000000, 177,48806| 197396
8,1,7, true,185.235000000, 177,48806| 197396
9,0,7, true,200.554000000, 125,47524| 190118
9,1,7, true,204.077000000, 125,47524| 190118
0,0,8, true,225.424000000, 359,140480
0,1,8, true,217.595000000, 359,140480
1,0,8, true,228.515000000, 387,141590
1,1,8, true,216.337000000, 387,141590
2,0,8, true,266.708000000, 476,148736
2,1,8, true,221.681000000, 476,148736
3,0,8, true,166.971000000, 460,147478
3,1,8, true,165.576000000, 460,147478
4,0,8, true,151.307000000, 311,137828
4,1,8, true,150.471000000, 311,137828
5,0,8, true,161.215000000, 413,141408
5,1,8, true,161.995000000, 413,141408
6,0,8, true,161.162000000, 372,143194
6,1,8, true,164.610000000, 372,143194
7,0,8, true,158.754000000, 390,139408
7,1,8, true,156.090000000, 390,139408
8,0,8, true,170.379000000, 447,148590
8,1,8, true,160.548000000, 447,148590
9,0,8, true,159.274000000, 408,142594
9,1,8, true,162.612000000, 408,142594
0,0,9, true,542.887000000, 1000,140480| 556228
0,1,9, true,564.300000000, 1000,140480| 556228
1,0,9, true,525.256000000, 1043,141590| 562924
1,1,9, true,524.646000000, 1043,141590| 562924
2,0,9, true,534.594000000, 1198,148736| 602388
2,1,9, true,564.206000000, 1198,148736| 602388
3,0,9, true,594.375000000, 1216,147478| 593976
3,1,9, true,540.177000000, 1216,147478| 593976
4,0,9, true,503.455000000, 865,137828| 541934
4,1,9, true,497.777000000, 865,137828| 541934
5,0,9, true,512.302000000, 1137,141408| 565000
5,1,9, true,513.133000000, 1137,141408| 565000
6,0,9, true,559.255000000, 1026,143194| 571018
6,1,9, true,524.489000000, 1026,143194| 571018
7,0,9, true,508.419000000, 986,139408| 553070
7,1,9, true,581.199000000, 986,139408| 553070
8,0,9, true,532.876000000, 1161,148590| 598894
8,1,9, true,537.276000000, 1161,148590| 598894
9,0,9, true,527.030000000, 1091,142594| 570626
9,1,9, true,528.501000000, 1091,142594| 570626
0,0,10, true,525.225000000, 2571,415748
0,1,10, true,525.937000000, 2571,415748
1,0,10, true,541.432000000, 2727,421334
1,1,10, true,543.699000000, 2727,421334
2,0,10, true,564.686000000, 3401,453652
2,1,10, true,560.952000000, 3401,453652
3,0,10, true,598.910000000, 3244,446498
3,1,10, true,604.017000000, 3244,446498
4,0,10, true,517.966000000, 2240,404106
4,1,10, true,521.254000000, 2240,404106
5,0,10, true,534.079000000, 2867,423592
5,1,10, true,533.362000000, 2867,423592
6,0,10, true,547.944000000, 2686,427824
6,1,10, true,548.716000000, 2686,427824
7,0,10, true,520.347000000, 2622,413662
7,1,10, true,527.089000000, 2622,413662
8,0,10, true,590.338000000, 3255,450304
8,1,10, true,594.082000000, 3255,450304
9,0,10, true,585.448000000, 2933,428032
9,1,10, true,549.298000000, 2933,428032
0,0,11, true,1544.531000000, 6902,415748| 1645646
0,1,11, true,1559.418000000, 6902,415748| 1645646
1,0,11, true,1641.084000000, 7362,421334| 1674622
1,1,11, true,1571.577000000, 7362,421334| 1674622
2,0,11, true,1697.149000000, 9284,453652| 1832746
2,1,11, true,1742.765000000, 9284,453652| 1832746
3,0,11, true,1678.395000000, 9067,446498| 1798552
3,1,11, true,1661.379000000, 9067,446498| 1798552
4,0,11, true,1584.506000000, 6150,404106| 1585058
4,1,11, true,1541.596000000, 6150,404106| 1585058
5,0,11, true,1557.096000000, 7802,423592| 1692254
5,1,11, true,1603.460000000, 7802,423592| 1692254
6,0,11, true,1612.854000000, 7532,427824| 1704184
6,1,11, true,1617.226000000, 7532,427824| 1704184
7,0,11, true,1620.206000000, 7104,413662| 1639608
7,1,11, true,1537.728000000, 7104,413662| 1639608
8,0,11, true,1659.424000000, 9006,450304| 1815186
8,1,11, true,1659.583000000, 9006,450304| 1815186
9,0,11, true,1656.132000000, 7968,428032| 1713158
9,1,11, true,1608.583000000, 7968,428032| 1713158
0,0,12, true,1656.490000000, 18562,1229898
0,1,12, true,1685.816000000, 18562,1229898
1,0,12, true,1726.994000000, 19793,1253288
1,1,12, true,1672.523000000, 19793,1253288
2,0,12, true,1872.073000000, 25494,1379094
2,1,12, true,1953.603000000, 25494,1379094
3,0,12, true,1833.355000000, 24628,1352054
3,1,12, true,1830.602000000, 24628,1352054
4,0,12, true,1716.912000000, 16227,1180952
4,1,12, true,1625.707000000, 16227,1180952
5,0,12, true,1702.061000000, 21634,1268662
5,1,12, true,1687.361000000, 21634,1268662
6,0,12, true,1775.262000000, 20584,1276360
6,1,12, true,1738.260000000, 20584,1276360
7,0,12, true,1646.227000000, 18750,1225946
7,1,12, true,1641.117000000, 18750,1225946
8,0,12, true,1927.994000000, 24985,1364882
8,1,12, true,1834.933000000, 24985,1364882
9,0,12, true,1743.730000000, 21860,1285126
9,1,12, true,1825.316000000, 21860,1285126
0,0,13, true,4708.186000000, 50746,1229898| 4865340
0,1,13, true,4728.353000000, 50746,1229898| 4865340
1,0,13, true,4779.563000000, 55118,1253288| 4979540
1,1,13, true,4761.257000000, 55118,1253288| 4979540
2,0,13, true,5292.980000000, 71228,1379094| 5563550
2,1,13, true,5276.937000000, 71228,1379094| 5563550
3,0,13, true,5185.298000000, 68708,1352054| 5442170
3,1,13, true,5173.139000000, 68708,1352054| 5442170
4,0,13, true,4495.320000000, 43885,1180952| 4629084
4,1,13, true,4510.400000000, 43885,1180952| 4629084
5,0,13, true,4812.223000000, 59582,1268662| 5064172
5,1,13, true,4799.764000000, 59582,1268662| 5064172
6,0,13, true,4882.930000000, 56434,1276360| 5079378
6,1,13, true,4881.337000000, 56434,1276360| 5079378
7,0,13, true,4638.538000000, 51505,1225946| 4853346
7,1,13, true,4664.415000000, 51505,1225946| 4853346
8,0,13, true,5256.070000000, 69219,1364882| 5496812
8,1,13, true,5203.581000000, 69219,1364882| 5496812
9,0,13, true,4827.554000000, 60770,1285126| 5138004
9,1,13, true,4855.094000000, 60770,1285126| 5138004
0,0,14, true,5484.134000000, 138645,3635442
0,1,14, true,5477.560000000, 138645,3635442
1,0,14, true,5728.858000000, 150053,3726252
1,1,14, true,5668.091000000, 150053,3726252
2,0,14, true,6550.738000000, 198666,4184456
2,1,14, true,6546.816000000, 198666,4184456
3,0,14, true,6333.309000000, 191298,4090116
3,1,14, true,6356.182000000, 191298,4090116
4,0,14, true,5061.558000000, 117837,3448132
4,1,14, true,5091.722000000, 117837,3448132
5,0,14, true,5878.394000000, 163145,3795510
5,1,14, true,5880.988000000, 163145,3795510
6,0,14, true,5821.017000000, 155067,3803018
6,1,14, true,5817.106000000, 155067,3803018
7,0,14, true,5471.178000000, 140430,3627400
7,1,14, true,5496.800000000, 140430,3627400
8,0,14, true,6453.064000000, 193137,4131930
8,1,14, true,6417.951000000, 193137,4131930
9,0,14, true,5843.395000000, 167576,3852878
9,1,14, true,5875.374000000, 167576,3852878
