config_id,graph_id,run,k,runtime_ms,cycles,paths
1,3,8,2,0.00661516, 2,2457
1,3,9,2,0.00698185, 2,2457
1,4,0,2,0.00907016, 1,2472
1,4,1,2,0.00805759, 1,2472
1,4,2,2,0.00762987, 1,2472
1,4,3,2,0.00749016, 1,2472
1,4,4,2,0.00746059, 1,2472
1,4,5,2,0.00856566, 1,2472
1,4,6,2,0.00670719, 1,2472
1,4,7,2,0.00708961, 1,2472
1,4,8,2,0.00647569, 1,2472
1,4,9,2,0.0126679, 1,2472
1,5,0,2,0.00857663, 2,2472
1,5,1,2,0.0112174, 2,2472
1,5,2,2,0.00740051, 2,2472
1,5,3,2,0.0104165, 2,2472
1,5,4,2,0.00695825, 2,2472
1,5,5,2,0.00666833, 2,2472
1,5,6,2,0.00670528, 2,2472
1,5,7,2,0.00778031, 2,2472
1,5,8,2,0.0068872, 2,2472
1,5,9,2,0.00661111, 2,2472
1,6,0,2,0.00741363, 7,2456
1,6,1,2,0.00685358, 7,2456
1,6,2,2,0.00656581, 7,2456
1,6,3,2,0.00654101, 7,2456
1,6,4,2,0.00661445, 7,2456
1,6,5,2,0.00646806, 7,2456
1,6,6,2,0.0070951, 7,2456
1,6,7,2,0.01021, 7,2456
1,6,8,2,0.0146449, 7,2456
1,6,9,2,0.0134816, 7,2456
1,7,0,2,0.010952, 3,2463
1,7,1,2,0.0112731, 3,2463
1,7,2,2,0.0111635, 3,2463
1,7,3,2,0.00762868, 3,2463
1,7,4,2,0.00673652, 3,2463
1,7,5,2,0.00665331, 3,2463
1,7,6,2,0.00792027, 3,2463
1,7,7,2,0.00692725, 3,2463
1,7,8,2,0.00674868, 3,2463
1,7,9,2,0.00656366, 3,2463
1,8,0,2,0.00803471, 1,2469
1,8,1,2,0.00675511, 1,2469
1,8,2,2,0.00655341, 1,2469
1,8,3,2,0.00663066, 1,2469
1,8,4,2,0.00646567, 1,2469
1,8,5,2,0.00698733, 1,2469
1,8,6,2,0.00966644, 1,2469
1,8,7,2,0.0127602, 1,2469
1,8,8,2,0.0139728, 1,2469
1,8,9,2,0.00982428, 1,2469
1,9,0,2,0.0129838, 2,2470
1,9,1,2,0.00767851, 2,2470
1,9,2,2,0.0144031, 2,2470
1,9,3,2,0.0150204, 2,2470
1,9,4,2,0.0131397, 2,2470
1,9,5,2,0.00732207, 2,2470
1,9,6,2,0.0123372, 2,2470
1,9,7,2,0.00883555, 2,2470
1,9,8,2,0.0148089, 2,2470
1,9,9,2,0.00936484, 2,2470
2,0,0,2,0.00936007, 4,2990
2,0,1,2,0.0100825, 4,2990
2,0,2,2,0.0142233, 4,2990
2,0,3,2,0.00766778, 4,2990
2,0,4,2,0.00693488, 4,2990
2,0,5,2,0.00648141, 4,2990
2,0,6,2,0.00691104, 4,2990
2,0,7,2,0.00933886, 4,2990
2,0,8,2,0.00951791, 4,2990
2,0,9,2,0.00758958, 4,2990
2,1,0,2,0.0134346, 4,2988
2,1,1,2,0.00838399, 4,2988
2,1,2,2,0.015594, 4,2988
2,1,3,2,0.0124059, 4,2988
2,1,4,2,0.0115631, 4,2988
2,1,5,2,0.0152307, 4,2988
2,1,6,2,0.00770044, 4,2988
2,1,7,2,0.00713396, 4,2988
2,1,8,2,0.00696659, 4,2988
2,1,9,2,0.00693941, 4,2988
2,2,0,2,0.00841951, 8,2988
2,2,1,2,0.00696945, 8,2988
2,2,2,2,0.00673509, 8,2988
2,2,3,2,0.00686383, 8,2988
2,2,4,2,0.00683665, 8,2988
2,2,5,2,0.00687218, 8,2988
2,2,6,2,0.00667644, 8,2988
2,2,7,2,0.00668812, 8,2988
2,2,8,2,0.00671387, 8,2988
2,2,9,2,0.00799179, 8,2988
2,3,0,2,0.0182967, 3,2985
2,3,1,2,0.00982261, 3,2985
2,3,2,2,0.0156593, 3,2985
2,3,3,2,0.0129678, 3,2985
2,3,4,2,0.00718355, 3,2985
2,3,5,2,0.00706577, 3,2985
2,3,6,2,0.00693011, 3,2985
2,3,7,2,0.0068388, 3,2985
2,3,8,2,0.006881, 3,2985
2,3,9,2,0.00689197, 3,2985
2,4,0,2,0.00785089, 5,2980
2,4,1,2,0.00723267, 5,2980
2,4,2,2,0.00685835, 5,2980
2,4,3,2,0.00691104, 5,2980
2,4,4,2,0.00674129, 5,2980
2,4,5,2,0.00691462, 5,2980
2,4,6,2,0.00793219, 5,2980
2,4,7,2,0.00677562, 5,2980
2,4,8,2,0.0150197, 5,2980
2,4,9,2,0.0124593, 5,2980
2,5,0,2,0.00898671, 7,2981
2,5,1,2,0.00760841, 7,2981
2,5,2,2,0.0073607, 7,2981
2,5,3,2,0.00721788, 7,2981
2,5,4,2,0.00706458, 7,2981
2,5,5,2,0.00706697, 7,2981
2,5,6,2,0.00694346, 7,2981
2,5,7,2,0.00707006, 7,2981
2,5,8,2,0.00709677, 7,2981
2,5,9,2,0.00732303, 7,2981
2,6,0,2,0.00862551, 7,2987
2,6,1,2,0.00787783, 7,2987
2,6,2,2,0.00777626, 7,2987
2,6,3,2,0.00775003, 7,2987
2,6,4,2,0.00779557, 7,2987
2,6,5,2,0.00907922, 7,2987
2,6,6,2,0.00919652, 7,2987
2,6,7,2,0.00800395, 7,2987
2,6,8,2,0.00816107, 7,2987
2,6,9,2,0.00796175, 7,2987
2,7,0,2,0.010756, 6,2981
2,7,1,2,0.00874448, 6,2981
2,7,2,2,0.00879908, 6,2981
2,7,3,2,0.00852799, 6,2981
2,7,4,2,0.00819182, 6,2981
2,7,5,2,0.00828266, 6,2981
2,7,6,2,0.00813746, 6,2981
2,7,7,2,0.0080893, 6,2981
2,7,8,2,0.00784063, 6,2981
2,7,9,2,0.00754833, 6,2981
2,8,0,2,0.0091548, 9,2986
2,8,1,2,0.00819945, 9,2986
2,8,2,2,0.00738525, 9,2986
2,8,3,2,0.00721979, 9,2986
2,8,4,2,0.00714707, 9,2986
2,8,5,2,0.00698566, 9,2986
2,8,6,2,0.00688481, 9,2986
2,8,7,2,0.00725722, 9,2986
2,8,8,2,0.00689077, 9,2986
2,8,9,2,0.00682378, 9,2986
2,9,0,2,0.00805926, 3,2976
2,9,1,2,0.00693917, 3,2976
2,9,2,2,0.00676584, 3,2976
2,9,3,2,0.00733733, 3,2976
2,9,4,2,0.0104301, 3,2976
2,9,5,2,0.00771952, 3,2976
2,9,6,2,0.0117583, 3,2976
2,9,7,2,0.0114903, 3,2976
2,9,8,2,0.00759077, 3,2976
2,9,9,2,0.00696778, 3,2976
3,0,0,2,0.0214496, 2,3846
3,0,1,2,0.0195358, 2,3846
3,0,2,2,0.0198431, 2,3846
3,0,3,2,0.0211778, 2,3846
3,0,4,2,0.0253003, 2,3846
3,0,5,2,0.0256693, 2,3846
3,0,6,2,0.0251508, 2,3846
3,0,7,2,0.0215724, 2,3846
3,0,8,2,0.0184929, 2,3846
3,0,9,2,0.0277519, 2,3846
3,1,0,2,0.0217826, 3,3833
3,1,1,2,0.0200107, 3,3833
3,1,2,2,0.0201077, 3,3833
3,1,3,2,0.0184464, 3,3833
3,1,4,2,0.0197973, 3,3833
3,1,5,2,0.0210896, 3,3833
3,1,6,2,0.0219603, 3,3833
3,1,7,2,0.0223253, 3,3833
3,1,8,2,0.0216918, 3,3833
3,1,9,2,0.0241215, 3,3833
3,2,0,2,0.0234904, 3,3821
3,2,1,2,0.0257361, 3,3821
3,2,2,2,0.0264258, 3,3821
3,2,3,2,0.0249109, 3,3821
3,2,4,2,0.0252979, 3,3821
3,2,5,2,0.0258305, 3,3821
3,2,6,2,0.023834, 3,3821
3,2,7,2,0.0233207, 3,3821
3,2,8,2,0.0226386, 3,3821
3,2,9,2,0.0216851, 3,3821
3,3,0,2,0.0219247, 0,3851
3,3,1,2,0.0203543, 0,3851
3,3,2,2,0.021822, 0,3851
3,3,3,2,0.0171745, 0,3851
3,3,4,2,0.0170634, 0,3851
3,3,5,2,0.0171421, 0,3851
3,3,6,2,0.0233135, 0,3851
3,3,7,2,0.0233815, 0,3851
3,3,8,2,0.0403426, 0,3851
3,3,9,2,0.0187206, 0,3851
