graph_id,run,k,config_id,c_args,runtime_ms,cycles,paths
0,0,12,1,"5 5 1 1",61.504, 13248,93866| 95176
1,0,12,1,"5 5 1 1",69.1103, 18245,104952| 106300
2,0,12,1,"5 5 1 1",74.0071, 18805,107534| 108860
3,0,12,1,"5 5 1 1",72.8629, 22607,110834| 112156
4,0,12,1,"5 5 1 1",60.7967, 10309,88532| 89884
5,0,12,1,"5 5 1 1",65.0688, 14005,97492| 98844
6,0,12,1,"5 5 1 1",73.1509, 15936,104554| 105896
7,0,12,1,"5 5 1 1",56.7898, 13111,92682| 94012
8,0,12,1,"5 5 1 1",71.4051, 22332,109558| 110876
9,0,12,1,"5 5 1 1",70.1729, 18871,105774| 107082
0,1,12,1,"5 5 1 1",64.4365, 13248,93866| 95176
1,1,12,1,"5 5 1 1",71.9246, 18245,104952| 106300
2,1,12,1,"5 5 1 1",73.075, 18805,107534| 108860
3,1,12,1,"5 5 1 1",72.3319, 22607,110834| 112156
4,1,12,1,"5 5 1 1",60.1055, 10309,88532| 89884
5,1,12,1,"5 5 1 1",64.6806, 14005,97492| 98844
6,1,12,1,"5 5 1 1",74.0988, 15936,104554| 105896
7,1,12,1,"5 5 1 1",57.6053, 13111,92682| 94012
8,1,12,1,"5 5 1 1",72.4399, 22332,109558| 110876
9,1,12,1,"5 5 1 1",72.1407, 18871,105774| 107082
0,2,12,1,"5 5 1 1",61.4591, 13248,93866| 95176
1,2,12,1,"5 5 1 1",69.3404, 18245,104952| 106300
2,2,12,1,"5 5 1 1",72.0763, 18805,107534| 108860
3,2,12,1,"5 5 1 1",71.8066, 22607,110834| 112156
4,2,12,1,"5 5 1 1",60.8739, 10309,88532| 89884
5,2,12,1,"5 5 1 1",65.5641, 14005,97492| 98844
6,2,12,1,"5 5 1 1",73.9068, 15936,104554| 105896
7,2,12,1,"5 5 1 1",56.938, 13111,92682| 94012
8,2,12,1,"5 5 1 1",71.6836, 22332,109558| 110876
9,2,12,1,"5 5 1 1",70.4803, 18871,105774| 107082
0,3,12,1,"5 5 1 1",61.5405, 13248,93866| 95176
1,3,12,1,"5 5 1 1",69.3775, 18245,104952| 106300
2,3,12,1,"5 5 1 1",75.3305, 18805,107534| 108860
3,3,12,1,"5 5 1 1",72.716, 22607,110834| 112156
4,3,12,1,"5 5 1 1",60.4312, 10309,88532| 89884
5,3,12,1,"5 5 1 1",65.1958, 14005,97492| 98844
