graph_id,run,k,config_id,c_args,runtime_ms,cycles,paths
9,7,12,1,"6 5 1",29.4658, 18871,312558| 418332| 419640
0,8,12,1,"6 5 1",25.6343, 13248,269496| 363362| 364672
1,8,12,1,"6 5 1",29.7092, 18245,309628| 414580| 415928
2,8,12,1,"6 5 1",30.898, 18805,317672| 425206| 426532
3,8,12,1,"6 5 1",30.3354, 22607,332290| 443124| 444446
4,8,12,1,"6 5 1",26.0228, 10309,249200| 337732| 339084
5,8,12,1,"6 5 1",27.877, 14005,280666| 378158| 379510
6,8,12,1,"6 5 1",31.5515, 15936,304106| 408660| 410002
7,8,12,1,"6 5 1",25.0858, 13111,266362| 359044| 360374
8,8,12,1,"6 5 1",30.6948, 22332,329848| 439406| 440724
9,8,12,1,"6 5 1",29.7916, 18871,312558| 418332| 419640
0,9,12,1,"6 5 1",26.1701, 13248,269496| 363362| 364672
1,9,12,1,"6 5 1",29.797, 18245,309628| 414580| 415928
2,9,12,1,"6 5 1",30.4613, 18805,317672| 425206| 426532
3,9,12,1,"6 5 1",30.4136, 22607,332290| 443124| 444446
4,9,12,1,"6 5 1",26.249, 10309,249200| 337732| 339084
5,9,12,1,"6 5 1",28.1116, 14005,280666| 378158| 379510
6,9,12,1,"6 5 1",31.5221, 15936,304106| 408660| 410002
7,9,12,1,"6 5 1",24.5551, 13111,266362| 359044| 360374
8,9,12,1,"6 5 1",30.5188, 22332,329848| 439406| 440724
9,9,12,1,"6 5 1",29.5872, 18871,312558| 418332| 419640
0,0,12,2,"5 5 2",15.2483, 13248,93866| 97742
1,0,12,2,"5 5 2",17.7834, 18245,104952| 108944
2,0,12,2,"5 5 2",18.5834, 18805,107534| 111540
3,0,12,2,"5 5 2",18.5946, 22607,110834| 114870
4,0,12,2,"5 5 2",14.7139, 10309,88532| 92390
5,0,12,2,"5 5 2",16.2667, 14005,97492| 101424
6,0,12,2,"5 5 2",18.4633, 15936,104554| 108616
7,0,12,2,"5 5 2",13.792, 13111,92682| 96538
8,0,12,2,"5 5 2",18.5327, 22332,109558| 113512
9,0,12,2,"5 5 2",18.0514, 18871,105774| 109728
0,1,12,2,"5 5 2",15.2723, 13248,93866| 97742
1,1,12,2,"5 5 2",17.184, 18245,104952| 108944
2,1,12,2,"5 5 2",17.5688, 18805,107534| 111540
3,1,12,2,"5 5 2",18.8244, 22607,110834| 114870
4,1,12,2,"5 5 2",14.6284, 10309,88532| 92390
5,1,12,2,"5 5 2",15.7105, 14005,97492| 101424
6,1,12,2,"5 5 2",18.452, 15936,104554| 108616
7,1,12,2,"5 5 2",14.4387, 13111,92682| 96538
8,1,12,2,"5 5 2",18.447, 22332,109558| 113512
9,1,12,2,"5 5 2",17.2822, 18871,105774| 109728
0,2,12,2,"5 5 2",15.3736, 13248,93866| 97742
1,2,12,2,"5 5 2",17.7552, 18245,104952| 108944
2,2,12,2,"5 5 2",18.2337, 18805,107534| 111540
3,2,12,2,"5 5 2",18.8198, 22607,110834| 114870
4,2,12,2,"5 5 2",14.724, 10309,88532| 92390
5,2,12,2,"5 5 2",16.281, 14005,97492| 101424
6,2,12,2,"5 5 2",18.0542, 15936,104554| 108616
7,2,12,2,"5 5 2",14.462, 13111,92682| 96538
8,2,12,2,"5 5 2",18.4599, 22332,109558| 113512
9,2,12,2,"5 5 2",17.8245, 18871,105774| 109728
0,3,12,2,"5 5 2",14.6641, 13248,93866| 97742
1,3,12,2,"5 5 2",17.7596, 18245,104952| 108944
2,3,12,2,"5 5 2",18.5147, 18805,107534| 111540
3,3,12,2,"5 5 2",18.2551, 22607,110834| 114870
4,3,12,2,"5 5 2",14.6885, 10309,88532| 92390
5,3,12,2,"5 5 2",16.2874, 14005,97492| 101424
6,3,12,2,"5 5 2",18.2834, 15936,104554| 108616
7,3,12,2,"5 5 2",14.2536, 13111,92682| 96538
8,3,12,2,"5 5 2",18.4952, 22332,109558| 113512
9,3,12,2,"5 5 2",18.0298, 18871,105774| 109728
0,4,12,2,"5 5 2",15.2039, 13248,93866| 97742
1,4,12,2,"5 5 2",16.672, 18245,104952| 108944
2,4,12,2,"5 5 2",18.5494, 18805,107534| 111540
3,4,12,2,"5 5 2",18.8631, 22607,110834| 114870
4,4,12,2,"5 5 2",14.3484, 10309,88532| 92390
5,4,12,2,"5 5 2",16.3301, 14005,97492| 101424
6,4,12,2,"5 5 2",18.4204, 15936,104554| 108616
7,4,12,2,"5 5 2",14.3306, 13111,92682| 96538
8,4,12,2,"5 5 2",18.174, 22332,109558| 113512
9,4,12,2,"5 5 2",17.9582, 18871,105774| 109728
0,5,12,2,"5 5 2",15.4036, 13248,93866| 97742
1,5,12,2,"5 5 2",18.0523, 18245,104952| 108944
2,5,12,2,"5 5 2",18.5739, 18805,107534| 111540
3,5,12,2,"5 5 2",18.9601, 22607,110834| 114870
4,5,12,2,"5 5 2",14.5585, 10309,88532| 92390
5,5,12,2,"5 5 2",16.1964, 14005,97492| 101424
6,5,12,2,"5 5 2",18.3924, 15936,104554| 108616
7,5,12,2,"5 5 2",14.4249, 13111,92682| 96538
8,5,12,2,"5 5 2",18.4262, 22332,109558| 113512
9,5,12,2,"5 5 2",17.4908, 18871,105774| 109728
0,6,12,2,"5 5 2",15.347, 13248,93866| 97742
1,6,12,2,"5 5 2",17.7249, 18245,104952| 108944
2,6,12,2,"5 5 2",17.8632, 18805,107534| 111540
3,6,12,2,"5 5 2",18.9115, 22607,110834| 114870
4,6,12,2,"5 5 2",14.6316, 10309,88532| 92390
5,6,12,2,"5 5 2",16.1782, 14005,97492| 101424
6,6,12,2,"5 5 2",17.8809, 15936,104554| 108616
7,6,12,2,"5 5 2",14.424, 13111,92682| 96538
8,6,12,2,"5 5 2",18.5966, 22332,109558| 113512
9,6,12,2,"5 5 2",17.9998, 18871,105774| 109728
0,7,12,2,"5 5 2",15.3915, 13248,93866| 97742
1,7,12,2,"5 5 2",17.8163, 18245,104952| 108944
2,7,12,2,"5 5 2",18.558, 18805,107534| 111540
3,7,12,2,"5 5 2",18.2752, 22607,110834| 114870
4,7,12,2,"5 5 2",14.6095, 10309,88532| 92390
5,7,12,2,"5 5 2",16.3219, 14005,97492| 101424
6,7,12,2,"5 5 2",18.3796, 15936,104554| 108616
7,7,12,2,"5 5 2",13.8815, 13111,92682| 96538
8,7,12,2,"5 5 2",18.5774, 22332,109558| 113512
9,7,12,2,"5 5 2",17.9237, 18871,105774| 109728
0,8,12,2,"5 5 2",15.4876, 13248,93866| 97742
1,8,12,2,"5 5 2",17.5167, 18245,104952| 108944
2,8,12,2,"5 5 2",18.4874, 18805,107534| 111540
3,8,12,2,"5 5 2",18.8875, 22607,110834| 114870
4,8,12,2,"5 5 2",14.3876, 10309,88532| 92390
5,8,12,2,"5 5 2",15.5831, 14005,97492| 101424
6,8,12,2,"5 5 2",18.4445, 15936,104554| 108616
7,8,12,2,"5 5 2",14.4896, 13111,92682| 96538
8,8,12,2,"5 5 2",17.7648, 22332,109558| 113512
9,8,12,2,"5 5 2",18.0777, 18871,105774| 109728
0,9,12,2,"5 5 2",15.4097, 13248,93866| 97742
1,9,12,2,"5 5 2",17.7669, 18245,104952| 108944
2,9,12,2,"5 5 2",17.6806, 18805,107534| 111540
3,9,12,2,"5 5 2",18.9283, 22607,110834| 114870
4,9,12,2,"5 5 2",14.6178, 10309,88532| 92390
5,9,12,2,"5 5 2",16.2282, 14005,97492| 101424
6,9,12,2,"5 5 2",18.4728, 15936,104554| 108616
7,9,12,2,"5 5 2",14.4463, 13111,92682| 96538
8,9,12,2,"5 5 2",18.501, 22332,109558| 113512
9,9,12,2,"5 5 2",17.6701, 18871,105774| 109728
0,0,12,3,"4 4 4",2.82505, 13248,32606
1,0,12,3,"4 4 4",3.23538, 18245,35464
2,0,12,3,"4 4 4",3.38319, 18805,36204
3,0,12,3,"4 4 4",3.44715, 22607,36834
4,0,12,3,"4 4 4",2.71043, 10309,31346
5,0,12,3,"4 4 4",2.9889, 14005,33730
6,0,12,3,"4 4 4",3.3892, 15936,35746
7,0,12,3,"4 4 4",2.67047, 13111,32084
8,0,12,3,"4 4 4",3.39467, 22332,36228
9,0,12,3,"4 4 4",3.29952, 18871,35586
0,1,12,3,"4 4 4",2.85153, 13248,32606
1,1,12,3,"4 4 4",3.25481, 18245,35464
2,1,12,3,"4 4 4",3.43243, 18805,36204
3,1,12,3,"4 4 4",3.44147, 22607,36834
4,1,12,3,"4 4 4",2.72034, 10309,31346
5,1,12,3,"4 4 4",2.99474, 14005,33730
6,1,12,3,"4 4 4",3.36672, 15936,35746
