graph_id,run,k,config_id,c_args,runtime_ms,cycles,paths
2,4,12,5,"1 5 6",0.680511, 18805,1326| 108860| 426532
3,4,12,5,"1 5 6",0.712227, 22607,1322| 112156| 444446
4,4,12,5,"1 5 6",0.54709, 10309,1352| 89884| 339084
5,4,12,5,"1 5 6",0.679775, 14005,1352| 98844| 379510
6,4,12,5,"1 5 6",0.664977, 15936,1342| 105896| 410002
7,4,12,5,"1 5 6",0.566723, 13111,1330| 94012| 360374
8,4,12,5,"1 5 6",0.717379, 22332,1318| 110876| 440724
9,4,12,5,"1 5 6",0.661246, 18871,1308| 107082| 419640
0,5,12,5,"1 5 6",0.570945, 13248,1310| 95176| 364672
1,5,12,5,"1 5 6",0.670133, 18245,1348| 106300| 415928
2,5,12,5,"1 5 6",0.677192, 18805,1326| 108860| 426532
3,5,12,5,"1 5 6",0.715519, 22607,1322| 112156| 444446
4,5,12,5,"1 5 6",0.545841, 10309,1352| 89884| 339084
5,5,12,5,"1 5 6",0.607787, 14005,1352| 98844| 379510
6,5,12,5,"1 5 6",0.656033, 15936,1342| 105896| 410002
7,5,12,5,"1 5 6",0.566183, 13111,1330| 94012| 360374
8,5,12,5,"1 5 6",0.709745, 22332,1318| 110876| 440724
9,5,12,5,"1 5 6",0.657614, 18871,1308| 107082| 419640
0,6,12,5,"1 5 6",0.572584, 13248,1310| 95176| 364672
1,6,12,5,"1 5 6",0.705326, 18245,1348| 106300| 415928
2,6,12,5,"1 5 6",0.677926, 18805,1326| 108860| 426532
3,6,12,5,"1 5 6",0.71562, 22607,1322| 112156| 444446
4,6,12,5,"1 5 6",0.550386, 10309,1352| 89884| 339084
5,6,12,5,"1 5 6",0.609688, 14005,1352| 98844| 379510
6,6,12,5,"1 5 6",0.656055, 15936,1342| 105896| 410002
7,6,12,5,"1 5 6",0.573562, 13111,1330| 94012| 360374
8,6,12,5,"1 5 6",0.711821, 22332,1318| 110876| 440724
9,6,12,5,"1 5 6",0.65611, 18871,1308| 107082| 419640
0,7,12,5,"1 5 6",0.570364, 13248,1310| 95176| 364672
1,7,12,5,"1 5 6",0.667559, 18245,1348| 106300| 415928
2,7,12,5,"1 5 6",0.676629, 18805,1326| 108860| 426532
3,7,12,5,"1 5 6",0.710293, 22607,1322| 112156| 444446
4,7,12,5,"1 5 6",0.54762, 10309,1352| 89884| 339084
5,7,12,5,"1 5 6",0.609233, 14005,1352| 98844| 379510
6,7,12,5,"1 5 6",0.72531, 15936,1342| 105896| 410002
7,7,12,5,"1 5 6",0.569108, 13111,1330| 94012| 360374
8,7,12,5,"1 5 6",0.715042, 22332,1318| 110876| 440724
9,7,12,5,"1 5 6",0.656714, 18871,1308| 107082| 419640
0,8,12,5,"1 5 6",0.576235, 13248,1310| 95176| 364672
1,8,12,5,"1 5 6",0.672799, 18245,1348| 106300| 415928
2,8,12,5,"1 5 6",0.673552, 18805,1326| 108860| 426532
3,8,12,5,"1 5 6",0.710572, 22607,1322| 112156| 444446
4,8,12,5,"1 5 6",0.54533, 10309,1352| 89884| 339084
5,8,12,5,"1 5 6",0.606908, 14005,1352| 98844| 379510
6,8,12,5,"1 5 6",0.65627, 15936,1342| 105896| 410002
7,8,12,5,"1 5 6",0.567741, 13111,1330| 94012| 360374
8,8,12,5,"1 5 6",0.711763, 22332,1318| 110876| 440724
9,8,12,5,"1 5 6",0.654831, 18871,1308| 107082| 419640
0,9,12,5,"1 5 6",0.569289, 13248,1310| 95176| 364672
1,9,12,5,"1 5 6",0.673078, 18245,1348| 106300| 415928
2,9,12,5,"1 5 6",0.773245, 18805,1326| 108860| 426532
3,9,12,5,"1 5 6",0.714912, 22607,1322| 112156| 444446
4,9,12,5,"1 5 6",0.54634, 10309,1352| 89884| 339084
5,9,12,5,"1 5 6",0.616687, 14005,1352| 98844| 379510
6,9,12,5,"1 5 6",0.655141, 15936,1342| 105896| 410002
7,9,12,5,"1 5 6",0.565435, 13111,1330| 94012| 360374
8,9,12,5,"1 5 6",0.710857, 22332,1318| 110876| 440724
9,9,12,5,"1 5 6",0.661966, 18871,1308| 107082| 419640
