graph_id,run,k,config_id,c_args,runtime_ms,cycles,paths
2,9,12,1,"4 8",1.00711, 18805,36204| 2780340
3,9,12,1,"4 8",1.10428, 22607,36834| 2996740
4,9,12,1,"4 8",0.725554, 10309,31346| 1984198
5,9,12,1,"4 8",0.867632, 14005,33730| 2353986
6,9,12,1,"4 8",0.94654, 15936,35746| 2592566
7,9,12,1,"4 8",0.803032, 13111,32084| 2205822
8,9,12,1,"4 8",1.07853, 22332,36228| 2973082
9,9,12,1,"4 8",1.02699, 18871,35586| 2740606
0,0,12,2,"5 7",0.393157, 13248,93866| 865636
1,0,12,2,"5 7",0.478528, 18245,104952| 1013854
2,0,12,2,"5 7",0.481764, 18805,107534| 1042578
3,0,12,2,"5 7",0.522127, 22607,110834| 1104754
4,0,12,2,"5 7",0.36737, 10309,88532| 787164
5,0,12,2,"5 7",0.419199, 14005,97492| 905576
6,0,12,2,"5 7",0.459504, 15936,104554| 987374
7,0,12,2,"5 7",0.394731, 13111,92682| 854504
8,0,12,2,"5 7",0.521959, 22332,109558| 1096322
9,0,12,2,"5 7",0.478955, 18871,105774| 1026994
0,1,12,2,"5 7",0.398136, 13248,93866| 865636
1,1,12,2,"5 7",0.481286, 18245,104952| 1013854
2,1,12,2,"5 7",0.483294, 18805,107534| 1042578
3,1,12,2,"5 7",0.536515, 22607,110834| 1104754
4,1,12,2,"5 7",0.362213, 10309,88532| 787164
5,1,12,2,"5 7",0.420111, 14005,97492| 905576
6,1,12,2,"5 7",0.459718, 15936,104554| 987374
7,1,12,2,"5 7",0.398962, 13111,92682| 854504
8,1,12,2,"5 7",0.521692, 22332,109558| 1096322
9,1,12,2,"5 7",0.471781, 18871,105774| 1026994
0,2,12,2,"5 7",0.398386, 13248,93866| 865636
1,2,12,2,"5 7",0.480919, 18245,104952| 1013854
2,2,12,2,"5 7",0.476803, 18805,107534| 1042578
3,2,12,2,"5 7",0.523938, 22607,110834| 1104754
4,2,12,2,"5 7",0.361384, 10309,88532| 787164
5,2,12,2,"5 7",0.420383, 14005,97492| 905576
6,2,12,2,"5 7",0.453887, 15936,104554| 987374
7,2,12,2,"5 7",0.399987, 13111,92682| 854504
8,2,12,2,"5 7",0.513379, 22332,109558| 1096322
9,2,12,2,"5 7",0.482275, 18871,105774| 1026994
0,3,12,2,"5 7",0.393724, 13248,93866| 865636
1,3,12,2,"5 7",0.481836, 18245,104952| 1013854
2,3,12,2,"5 7",0.485726, 18805,107534| 1042578
3,3,12,2,"5 7",0.534238, 22607,110834| 1104754
4,3,12,2,"5 7",0.362825, 10309,88532| 787164
5,3,12,2,"5 7",0.418433, 14005,97492| 905576
6,3,12,2,"5 7",0.452926, 15936,104554| 987374
7,3,12,2,"5 7",0.393422, 13111,92682| 854504
8,3,12,2,"5 7",0.523599, 22332,109558| 1096322
9,3,12,2,"5 7",0.484739, 18871,105774| 1026994
0,4,12,2,"5 7",0.396303, 13248,93866| 865636
1,4,12,2,"5 7",0.468207, 18245,104952| 1013854
2,4,12,2,"5 7",0.486497, 18805,107534| 1042578
3,4,12,2,"5 7",0.521455, 22607,110834| 1104754
4,4,12,2,"5 7",0.362484, 10309,88532| 787164
5,4,12,2,"5 7",0.417396, 14005,97492| 905576
6,4,12,2,"5 7",0.456581, 15936,104554| 987374
7,4,12,2,"5 7",0.391335, 13111,92682| 854504
8,4,12,2,"5 7",0.523951, 22332,109558| 1096322
9,4,12,2,"5 7",0.477128, 18871,105774| 1026994
0,5,12,2,"5 7",0.403724, 13248,93866| 865636
1,5,12,2,"5 7",0.479084, 18245,104952| 1013854
2,5,12,2,"5 7",0.481207, 18805,107534| 1042578
3,5,12,2,"5 7",0.518636, 22607,110834| 1104754
4,5,12,2,"5 7",0.359463, 10309,88532| 787164
5,5,12,2,"5 7",0.422307, 14005,97492| 905576
6,5,12,2,"5 7",0.453804, 15936,104554| 987374
7,5,12,2,"5 7",0.394521, 13111,92682| 854504
8,5,12,2,"5 7",0.518129, 22332,109558| 1096322
9,5,12,2,"5 7",0.482289, 18871,105774| 1026994
0,6,12,2,"5 7",0.395764, 13248,93866| 865636
1,6,12,2,"5 7",0.480656, 18245,104952| 1013854
2,6,12,2,"5 7",0.4798, 18805,107534| 1042578
3,6,12,2,"5 7",0.520605, 22607,110834| 1104754
4,6,12,2,"5 7",0.361227, 10309,88532| 787164
5,6,12,2,"5 7",0.418654, 14005,97492| 905576
6,6,12,2,"5 7",0.454087, 15936,104554| 987374
7,6,12,2,"5 7",0.391374, 13111,92682| 854504
8,6,12,2,"5 7",0.523678, 22332,109558| 1096322
9,6,12,2,"5 7",0.475204, 18871,105774| 1026994
0,7,12,2,"5 7",0.399927, 13248,93866| 865636
1,7,12,2,"5 7",0.478557, 18245,104952| 1013854
2,7,12,2,"5 7",0.491355, 18805,107534| 1042578
3,7,12,2,"5 7",0.529725, 22607,110834| 1104754
4,7,12,2,"5 7",0.359267, 10309,88532| 787164
5,7,12,2,"5 7",0.415792, 14005,97492| 905576
6,7,12,2,"5 7",0.44991, 15936,104554| 987374
7,7,12,2,"5 7",0.388312, 13111,92682| 854504
8,7,12,2,"5 7",0.517703, 22332,109558| 1096322
9,7,12,2,"5 7",0.47247, 18871,105774| 1026994
0,8,12,2,"5 7",0.394712, 13248,93866| 865636
1,8,12,2,"5 7",0.473784, 18245,104952| 1013854
2,8,12,2,"5 7",0.479871, 18805,107534| 1042578
3,8,12,2,"5 7",0.519102, 22607,110834| 1104754
4,8,12,2,"5 7",0.359628, 10309,88532| 787164
5,8,12,2,"5 7",0.423706, 14005,97492| 905576
6,8,12,2,"5 7",0.452819, 15936,104554| 987374
7,8,12,2,"5 7",0.390091, 13111,92682| 854504
8,8,12,2,"5 7",0.520487, 22332,109558| 1096322
9,8,12,2,"5 7",0.481972, 18871,105774| 1026994
0,9,12,2,"5 7",0.39142, 13248,93866| 865636
1,9,12,2,"5 7",0.476563, 18245,104952| 1013854
2,9,12,2,"5 7",0.484874, 18805,107534| 1042578
3,9,12,2,"5 7",0.521783, 22607,110834| 1104754
4,9,12,2,"5 7",0.36897, 10309,88532| 787164
5,9,12,2,"5 7",0.418237, 14005,97492| 905576
6,9,12,2,"5 7",0.448663, 15936,104554| 987374
7,9,12,2,"5 7",0.391512, 13111,92682| 854504
8,9,12,2,"5 7",0.520322, 22332,109558| 1096322
9,9,12,2,"5 7",0.479656, 18871,105774| 1026994
0,0,12,3,"6 6",0.179426, 13248,269496
1,0,12,3,"6 6",0.220628, 18245,309628
2,0,12,3,"6 6",0.225271, 18805,317672
3,0,12,3,"6 6",0.245775, 22607,332290
4,0,12,3,"6 6",0.161834, 10309,249200
5,0,12,3,"6 6",0.192001, 14005,280666
6,0,12,3,"6 6",0.208093, 15936,304106
7,0,12,3,"6 6",0.175223, 13111,266362
8,0,12,3,"6 6",0.249174, 22332,329848
9,0,12,3,"6 6",0.220042, 18871,312558
0,1,12,3,"6 6",0.1782, 13248,269496
1,1,12,3,"6 6",0.222688, 18245,309628
2,1,12,3,"6 6",0.223984, 18805,317672
3,1,12,3,"6 6",0.243928, 22607,332290
4,1,12,3,"6 6",0.157248, 10309,249200
5,1,12,3,"6 6",0.192139, 14005,280666
6,1,12,3,"6 6",0.207171, 15936,304106
7,1,12,3,"6 6",0.175362, 13111,266362
8,1,12,3,"6 6",0.24861, 22332,329848
9,1,12,3,"6 6",0.218563, 18871,312558
0,2,12,3,"6 6",0.177777, 13248,269496
1,2,12,3,"6 6",0.221316, 18245,309628
2,2,12,3,"6 6",0.235563, 18805,317672
3,2,12,3,"6 6",0.24647, 22607,332290
4,2,12,3,"6 6",0.156896, 10309,249200
5,2,12,3,"6 6",0.201242, 14005,280666
6,2,12,3,"6 6",0.20777, 15936,304106
7,2,12,3,"6 6",0.175605, 13111,266362
8,2,12,3,"6 6",0.247322, 22332,329848
9,2,12,3,"6 6",0.218819, 18871,312558
0,3,12,3,"6 6",0.177997, 13248,269496
1,3,12,3,"6 6",0.220627, 18245,309628
2,3,12,3,"6 6",0.222927, 18805,317672
3,3,12,3,"6 6",0.244707, 22607,332290
4,3,12,3,"6 6",0.157133, 10309,249200
5,3,12,3,"6 6",0.191459, 14005,280666
6,3,12,3,"6 6",0.20839, 15936,304106
7,3,12,3,"6 6",0.179622, 13111,266362
8,3,12,3,"6 6",0.247419, 22332,329848
9,3,12,3,"6 6",0.217099, 18871,312558
0,4,12,3,"6 6",0.183584, 13248,269496
1,4,12,3,"6 6",0.223425, 18245,309628
2,4,12,3,"6 6",0.222781, 18805,317672
3,4,12,3,"6 6",0.244508, 22607,332290
4,4,12,3,"6 6",0.156814, 10309,249200
5,4,12,3,"6 6",0.194405, 14005,280666
6,4,12,3,"6 6",0.212107, 15936,304106
7,4,12,3,"6 6",0.180117, 13111,266362
8,4,12,3,"6 6",0.25132, 22332,329848
9,4,12,3,"6 6",0.219421, 18871,312558
0,5,12,3,"6 6",0.18021, 13248,269496
1,5,12,3,"6 6",0.221291, 18245,309628
2,5,12,3,"6 6",0.227545, 18805,317672
3,5,12,3,"6 6",0.254732, 22607,332290
4,5,12,3,"6 6",0.16234, 10309,249200
5,5,12,3,"6 6",0.194916, 14005,280666
6,5,12,3,"6 6",0.211482, 15936,304106
7,5,12,3,"6 6",0.179562, 13111,266362
8,5,12,3,"6 6",0.251278, 22332,329848
9,5,12,3,"6 6",0.222642, 18871,312558
0,6,12,3,"6 6",0.178612, 13248,269496
