graph_id,run,k,mean_degree,variance,runtime_ms,cycles,paths
1,0,6,15,16,2978.364000000, 927058,1660246
0,0,6,16,16,3845.500000000, 1204558,1905014
1,0,6,16,16,4151.620000000, 1326922,1987598
0,0,6,17,16,5541.438000000, 1731725,2286738
1,0,6,17,16,5919.964000000, 1838779,2350272
0,0,6,18,16,7329.407000000, 2363066,2681432
1,0,6,18,16,8097.324000000, 2619068,2811034
0,0,6,19,16,10150.301000000, 3212125,3134916
1,0,6,19,16,11112.552000000, 3478227,3254708
0,0,6,20,16,13281.534000000, 4291122,3634490
1,0,6,20,16,13961.720000000, 4552578,3730772
