graph_id,run,k,join,runtime_ms,cycles,paths
2,3,4,3,0.0116544, 18,1326| 5332
3,3,4,3,0.0124872, 9,1322| 5358
4,3,4,3,0.0169296, 7,1352| 5210
5,3,4,3,0.0147104, 6,1352| 5284
6,3,4,3,0.0134308, 11,1342| 5404
7,3,4,3,0.0168507, 14,1330| 5186
8,3,4,3,0.0159926, 6,1318| 5272
9,3,4,3,0.0177553, 6,1308| 5262
0,4,4,3,0.0141978, 9,1310| 5186
1,4,4,3,0.018544, 7,1348| 5340
2,4,4,3,0.0183156, 18,1326| 5332
3,4,4,3,0.0154138, 9,1322| 5358
4,4,4,3,0.018538, 7,1352| 5210
5,4,4,3,0.0138969, 6,1352| 5284
6,4,4,3,0.0144808, 11,1342| 5404
7,4,4,3,0.0122705, 14,1330| 5186
8,4,4,3,0.0114231, 6,1318| 5272
9,4,4,3,0.0112371, 6,1308| 5262
0,5,4,3,0.0112648, 9,1310| 5186
1,5,4,3,0.0130501, 7,1348| 5340
2,5,4,3,0.0124717, 18,1326| 5332
3,5,4,3,0.016819, 9,1322| 5358
4,5,4,3,0.0125937, 7,1352| 5210
5,5,4,3,0.0154648, 6,1352| 5284
6,5,4,3,0.013154, 11,1342| 5404
7,5,4,3,0.0196888, 14,1330| 5186
8,5,4,3,0.012975, 6,1318| 5272
9,5,4,3,0.0113358, 6,1308| 5262
0,6,4,3,0.0114424, 9,1310| 5186
1,6,4,3,0.0118198, 7,1348| 5340
2,6,4,3,0.0113678, 18,1326| 5332
3,6,4,3,0.0114365, 9,1322| 5358
4,6,4,3,0.011867, 7,1352| 5210
5,6,4,3,0.0117433, 6,1352| 5284
6,6,4,3,0.0116313, 11,1342| 5404
7,6,4,3,0.011435, 14,1330| 5186
8,6,4,3,0.0116184, 6,1318| 5272
9,6,4,3,0.0117397, 6,1308| 5262
0,7,4,3,0.0159297, 9,1310| 5186
1,7,4,3,0.0157344, 7,1348| 5340
2,7,4,3,0.0185931, 18,1326| 5332
3,7,4,3,0.0129466, 9,1322| 5358
4,7,4,3,0.0116963, 7,1352| 5210
5,7,4,3,0.0115831, 6,1352| 5284
6,7,4,3,0.0115178, 11,1342| 5404
7,7,4,3,0.0114625, 14,1330| 5186
8,7,4,3,0.0114145, 6,1318| 5272
9,7,4,3,0.0112541, 6,1308| 5262
0,8,4,3,0.0112813, 9,1310| 5186
1,8,4,3,0.0117943, 7,1348| 5340
2,8,4,3,0.0114834, 18,1326| 5332
3,8,4,3,0.011519, 9,1322| 5358
4,8,4,3,0.0123453, 7,1352| 5210
5,8,4,3,0.0124817, 6,1352| 5284
6,8,4,3,0.0180199, 11,1342| 5404
7,8,4,3,0.0128765, 14,1330| 5186
8,8,4,3,0.0121174, 6,1318| 5272
9,8,4,3,0.0120292, 6,1308| 5262
0,9,4,3,0.0119183, 9,1310| 5186
1,9,4,3,0.0122592, 7,1348| 5340
2,9,4,3,0.0119159, 18,1326| 5332
3,9,4,3,0.0121591, 9,1322| 5358
4,9,4,3,0.0122454, 7,1352| 5210
5,9,4,3,0.0121577, 6,1352| 5284
6,9,4,3,0.0125031, 11,1342| 5404
7,9,4,3,0.0122316, 14,1330| 5186
8,9,4,3,0.0125101, 6,1318| 5272
9,9,4,3,0.0122933, 6,1308| 5262
0,0,4,4,0.0335457, 9,1310
1,0,4,4,0.034786, 7,1348
2,0,4,4,0.0344386, 18,1326
3,0,4,4,0.0349722, 9,1322
4,0,4,4,0.0343583, 7,1352
5,0,4,4,0.0349846, 6,1352
6,0,4,4,0.0349572, 11,1342
7,0,4,4,0.0335934, 14,1330
8,0,4,4,0.0338821, 6,1318
9,0,4,4,0.033186, 6,1308
0,1,4,4,0.0328798, 9,1310
1,1,4,4,0.0338125, 7,1348
2,1,4,4,0.0326846, 18,1326
3,1,4,4,0.0349691, 9,1322
4,1,4,4,0.0349336, 7,1352
5,1,4,4,0.0393167, 6,1352
6,1,4,4,0.0333154, 11,1342
7,1,4,4,0.0321884, 14,1330
8,1,4,4,0.0335217, 6,1318
9,1,4,4,0.0329268, 6,1308
0,2,4,4,0.03385, 9,1310
1,2,4,4,0.0344944, 7,1348
2,2,4,4,0.034693, 18,1326
3,2,4,4,0.0343261, 9,1322
4,2,4,4,0.0343235, 7,1352
5,2,4,4,0.0345335, 6,1352
6,2,4,4,0.0348582, 11,1342
7,2,4,4,0.0332794, 14,1330
8,2,4,4,0.034198, 6,1318
9,2,4,4,0.0324063, 6,1308
0,3,4,4,0.0320206, 9,1310
1,3,4,4,0.0349057, 7,1348
2,3,4,4,0.0340025, 18,1326
3,3,4,4,0.0345688, 9,1322
4,3,4,4,0.0348637, 7,1352
5,3,4,4,0.0354857, 6,1352
6,3,4,4,0.0358663, 11,1342
7,3,4,4,0.0341992, 14,1330
8,3,4,4,0.0342286, 6,1318
9,3,4,4,0.0332685, 6,1308
0,4,4,4,0.0329568, 9,1310
1,4,4,4,0.0351009, 7,1348
2,4,4,4,0.0335867, 18,1326
3,4,4,4,0.0334041, 9,1322
4,4,4,4,0.0335209, 7,1352
5,4,4,4,0.0361762, 6,1352
6,4,4,4,0.0366433, 11,1342
7,4,4,4,0.0335627, 14,1330
8,4,4,4,0.0321956, 6,1318
9,4,4,4,0.0331585, 6,1308
0,5,4,4,0.0329914, 9,1310
1,5,4,4,0.0360308, 7,1348
2,5,4,4,0.0348468, 18,1326
3,5,4,4,0.0349722, 9,1322
4,5,4,4,0.0341799, 7,1352
5,5,4,4,0.0366602, 6,1352
6,5,4,4,0.0376573, 11,1342
7,5,4,4,0.035728, 14,1330
8,5,4,4,0.0325789, 6,1318
9,5,4,4,0.0322273, 6,1308
0,6,4,4,0.0312762, 9,1310
1,6,4,4,0.0339282, 7,1348
2,6,4,4,0.032949, 18,1326
3,6,4,4,0.0326951, 9,1322
4,6,4,4,0.0392303, 7,1352
5,6,4,4,0.0377657, 6,1352
6,6,4,4,0.0368247, 11,1342
7,6,4,4,0.033473, 14,1330
8,6,4,4,0.0325065, 6,1318
9,6,4,4,0.0323818, 6,1308
0,7,4,4,0.0314691, 9,1310
1,7,4,4,0.0333917, 7,1348
2,7,4,4,0.0328174, 18,1326
3,7,4,4,0.0362692, 9,1322
4,7,4,4,0.0364022, 7,1352
5,7,4,4,0.0388269, 6,1352
6,7,4,4,0.038291, 11,1342
7,7,4,4,0.0362053, 14,1330
8,7,4,4,0.0361309, 6,1318
9,7,4,4,0.0363505, 6,1308
0,8,4,4,0.0340426, 9,1310
1,8,4,4,0.0361063, 7,1348
2,8,4,4,0.0349109, 18,1326
3,8,4,4,0.0334759, 9,1322
4,8,4,4,0.0373342, 7,1352
5,8,4,4,0.0373533, 6,1352
6,8,4,4,0.036644, 11,1342
7,8,4,4,0.0359068, 14,1330
8,8,4,4,0.0368059, 6,1318
9,8,4,4,0.0318079, 6,1308
0,9,4,4,0.0312696, 9,1310
1,9,4,4,0.0331976, 7,1348
2,9,4,4,0.0325739, 18,1326
3,9,4,4,0.0326514, 9,1322
4,9,4,4,0.0339537, 7,1352
5,9,4,4,0.0373976, 6,1352
6,9,4,4,0.0371027, 11,1342
7,9,4,4,0.0369496, 14,1330
8,9,4,4,0.0321109, 6,1318
9,9,4,4,0.0318387, 6,1308
0,0,5,2,0.0100939, 22,3876| 15118
1,0,5,2,0.00961661, 30,3992| 15902
2,0,5,2,0.00969791, 21,4006| 16112
3,0,5,2,0.00962019, 13,4036| 16258
4,0,5,2,0.00950289, 18,3858| 14902
5,0,5,2,0.00942826, 21,3932| 15504
6,0,5,2,0.00965524, 22,4062| 16186
7,0,5,2,0.0101175, 16,3856| 14958
8,0,5,2,0.00968814, 17,3954| 15860
9,0,5,2,0.0186946, 27,3954| 15838
0,1,5,2,0.0140803, 22,3876| 15118
1,1,5,2,0.0105312, 30,3992| 15902
2,1,5,2,0.0110548, 21,4006| 16112
3,1,5,2,0.00998569, 13,4036| 16258
4,1,5,2,0.0095489, 18,3858| 14902
5,1,5,2,0.00968099, 21,3932| 15504
6,1,5,2,0.00982761, 22,4062| 16186
7,1,5,2,0.00940323, 16,3856| 14958
8,1,5,2,0.0106742, 17,3954| 15860
9,1,5,2,0.0104408, 27,3954| 15838
0,2,5,2,0.0101585, 22,3876| 15118
1,2,5,2,0.0106044, 30,3992| 15902
2,2,5,2,0.0105908, 21,4006| 16112
3,2,5,2,0.0108502, 13,4036| 16258
4,2,5,2,0.0113404, 18,3858| 14902
5,2,5,2,0.0112293, 21,3932| 15504
6,2,5,2,0.0106997, 22,4062| 16186
7,2,5,2,0.0102279, 16,3856| 14958
8,2,5,2,0.0111599, 17,3954| 15860
9,2,5,2,0.011045, 27,3954| 15838
0,3,5,2,0.0104368, 22,3876| 15118
1,3,5,2,0.0108235, 30,3992| 15902
2,3,5,2,0.0111945, 21,4006| 16112
3,3,5,2,0.0111794, 13,4036| 16258
4,3,5,2,0.0103934, 18,3858| 14902
5,3,5,2,0.0105872, 21,3932| 15504
6,3,5,2,0.0112631, 22,4062| 16186
7,3,5,2,0.0101345, 16,3856| 14958
8,3,5,2,0.0101585, 17,3954| 15860
9,3,5,2,0.0103657, 27,3954| 15838
0,4,5,2,0.00998092, 22,3876| 15118
1,4,5,2,0.00994968, 30,3992| 15902
2,4,5,2,0.00986362, 21,4006| 16112
3,4,5,2,0.00988841, 13,4036| 16258
