config_id,run,k,runtime_ms,cycles,paths
0,4,7,9.56449, 1341966,118988| 1424732
0,5,7,9.27169, 1341966,118988| 1424732
0,6,7,9.57747, 1341966,118988| 1424732
0,7,7,9.46677, 1341966,118988| 1424732
0,8,7,9.44721, 1341966,118988| 1424732
0,9,7,9.2517, 1341966,118988| 1424732
1,0,7,0.026916, 117,9806| 31368
1,1,7,0.02584, 117,9806| 31368
1,2,7,0.0255485, 117,9806| 31368
1,3,7,0.0254669, 117,9806| 31368
1,4,7,0.0255344, 117,9806| 31368
1,5,7,0.0260634, 117,9806| 31368
1,6,7,0.0260098, 117,9806| 31368
1,7,7,0.0267136, 117,9806| 31368
1,8,7,0.0262825, 117,9806| 31368
1,9,7,0.0262725, 117,9806| 31368
3,0,7,0.0558097, 1,8779| 18876
3,1,7,0.0549388, 1,8779| 18876
3,2,7,0.054841, 1,8779| 18876
3,3,7,0.0575299, 1,8779| 18876
3,4,7,0.0578496, 1,8779| 18876
3,5,7,0.0585566, 1,8779| 18876
3,6,7,0.0566115, 1,8779| 18876
3,7,7,0.0566804, 1,8779| 18876
3,8,7,0.0561514, 1,8779| 18876
3,9,7,0.0563712, 1,8779| 18876
4,0,7,0.770217, 13803,80008| 326114
4,1,7,0.671344, 13803,80008| 326114
4,2,7,0.618819, 13803,80008| 326114
4,3,7,0.674288, 13803,80008| 326114
4,4,7,0.795386, 13803,80008| 326114
4,5,7,0.812572, 13803,80008| 326114
4,6,7,0.797373, 13803,80008| 326114
4,7,7,0.766239, 13803,80008| 326114
4,8,7,0.727739, 13803,80008| 326114
4,9,7,0.702994, 13803,80008| 326114
0,0,8,80.5918, 10823903,1305744
0,1,8,80.5147, 10823903,1305744
0,2,8,80.9016, 10823903,1305744
0,3,8,81.0307, 10823903,1305744
0,4,8,81.0439, 10823903,1305744
0,5,8,80.4655, 10823903,1305744
0,6,8,80.8085, 10823903,1305744
0,7,8,81.0247, 10823903,1305744
0,8,8,80.6937, 10823903,1305744
0,9,8,80.4067, 10823903,1305744
1,0,8,0.0267754, 156,21562
1,1,8,0.0232484, 156,21562
1,2,8,0.0227635, 156,21562
1,3,8,0.022105, 156,21562
1,4,8,0.0216489, 156,21562
1,5,8,0.022089, 156,21562
1,6,8,0.0240145, 156,21562
1,7,8,0.0234492, 156,21562
1,8,8,0.0236568, 156,21562
1,9,8,0.0245605, 156,21562
3,0,8,0.0498047, 0,10097
3,1,8,0.0555007, 0,10097
3,2,8,0.0564611, 0,10097
3,3,8,0.0530355, 0,10097
3,4,8,0.0527303, 0,10097
3,5,8,0.0514767, 0,10097
3,6,8,0.0482812, 0,10097
3,7,8,0.0461795, 0,10097
3,8,8,0.0426075, 0,10097
3,9,8,0.0415287, 0,10097
4,0,8,1.20709, 45225,246106
4,1,8,1.33872, 45225,246106
4,2,8,1.12791, 45225,246106
4,3,8,1.16366, 45225,246106
4,4,8,1.12951, 45225,246106
4,5,8,1.21328, 45225,246106
4,6,8,1.34141, 45225,246106
4,7,8,1.13104, 45225,246106
4,8,8,1.1727, 45225,246106
4,9,8,1.12532, 45225,246106
1,0,9,0.0731032, 302,21562| 68534
1,1,9,0.0502679, 302,21562| 68534
1,2,9,0.052146, 302,21562| 68534
1,3,9,0.0552576, 302,21562| 68534
1,4,9,0.0580697, 302,21562| 68534
1,5,9,0.0544102, 302,21562| 68534
1,6,9,0.0688815, 302,21562| 68534
1,7,9,0.0762999, 302,21562| 68534
1,8,9,0.0512247, 302,21562| 68534
1,9,9,0.0531347, 302,21562| 68534
3,0,9,0.0695119, 0,10097| 22151
3,1,9,0.0797331, 0,10097| 22151
3,2,9,0.112713, 0,10097| 22151
3,3,9,0.0796244, 0,10097| 22151
3,4,9,0.071265, 0,10097| 22151
3,5,9,0.0693748, 0,10097| 22151
3,6,9,0.0812953, 0,10097| 22151
3,7,9,0.10818, 0,10097| 22151
3,8,9,0.140755, 0,10097| 22151
3,9,9,0.134236, 0,10097| 22151
4,0,9,4.70506, 153837,246106| 1073642
4,1,9,4.75346, 153837,246106| 1073642
4,2,9,5.00003, 153837,246106| 1073642
4,3,9,4.97069, 153837,246106| 1073642
4,4,9,4.87179, 153837,246106| 1073642
4,5,9,4.64921, 153837,246106| 1073642
4,6,9,4.84916, 153837,246106| 1073642
4,7,9,5.00628, 153837,246106| 1073642
4,8,9,4.60067, 153837,246106| 1073642
4,9,9,4.84354, 153837,246106| 1073642
1,0,10,0.0516429, 449,46972
1,1,10,0.066582, 449,46972
1,2,10,0.0561802, 449,46972
1,3,10,0.0593998, 449,46972
1,4,10,0.0545273, 449,46972
1,5,10,0.0595927, 449,46972
1,6,10,0.055418, 449,46972
1,7,10,0.0631187, 449,46972
1,8,10,0.0569096, 449,46972
1,9,10,0.0581026, 449,46972
3,0,10,0.0630474, 0,12054
3,1,10,0.0706594, 0,12054
3,2,10,0.0673158, 0,12054
3,3,10,0.0630488, 0,12054
3,4,10,0.0676308, 0,12054
3,5,10,0.0668743, 0,12054
3,6,10,0.0660806, 0,12054
3,7,10,0.0507817, 0,12054
3,8,10,0.0543139, 0,12054
3,9,10,0.0503905, 0,12054
4,0,10,17.0174, 537073,827536
4,1,10,17.0416, 537073,827536
4,2,10,17.1955, 537073,827536
4,3,10,17.2844, 537073,827536
4,4,10,17.2332, 537073,827536
4,5,10,17.0971, 537073,827536
4,6,10,17.2149, 537073,827536
4,7,10,17.1178, 537073,827536
4,8,10,17.1697, 537073,827536
4,9,10,17.2736, 537073,827536
1,0,11,0.118291, 760,46972| 149592
1,1,11,0.132239, 760,46972| 149592
1,2,11,0.131942, 760,46972| 149592
1,3,11,0.123992, 760,46972| 149592
1,4,11,0.114013, 760,46972| 149592
1,5,11,0.121308, 760,46972| 149592
1,6,11,0.131499, 760,46972| 149592
1,7,11,0.112091, 760,46972| 149592
1,8,11,0.125108, 760,46972| 149592
1,9,11,0.124527, 760,46972| 149592
3,0,11,0.0910404, 0,12054| 24939
3,1,11,0.0955329, 0,12054| 24939
3,2,11,0.0972526, 0,12054| 24939
3,3,11,0.0996075, 0,12054| 24939
3,4,11,0.103368, 0,12054| 24939
3,5,11,0.100041, 0,12054| 24939
3,6,11,0.0948679, 0,12054| 24939
3,7,11,0.0912733, 0,12054| 24939
3,8,11,0.0930657, 0,12054| 24939
3,9,11,0.113495, 0,12054| 24939
4,0,11,83.2619, 1927308,827536| 3867274
4,1,11,82.7024, 1927308,827536| 3867274
4,2,11,83.0521, 1927308,827536| 3867274
4,3,11,83.2269, 1927308,827536| 3867274
4,4,11,82.5515, 1927308,827536| 3867274
4,5,11,83.071, 1927308,827536| 3867274
4,6,11,82.9597, 1927308,827536| 3867274
4,7,11,82.8389, 1927308,827536| 3867274
4,8,11,82.6434, 1927308,827536| 3867274
4,9,11,82.6622, 1927308,827536| 3867274
1,0,12,0.117196, 1276,102620
1,1,12,0.10543, 1276,102620
1,2,12,0.0996907, 1276,102620
1,3,12,0.0920672, 1276,102620
1,4,12,0.146218, 1276,102620
1,5,12,0.0932987, 1276,102620
1,6,12,0.10385, 1276,102620
1,7,12,0.105961, 1276,102620
1,8,12,0.164788, 1276,102620
1,9,12,0.0943615, 1276,102620
3,0,12,0.0611491, 0,12885
3,1,12,0.0590613, 0,12885
3,2,12,0.0904605, 0,12885
3,3,12,0.101322, 0,12885
3,4,12,0.0608592, 0,12885
3,5,12,0.0617423, 0,12885
3,6,12,0.0598564, 0,12885
3,7,12,0.0656059, 0,12885
3,8,12,0.101665, 0,12885
3,9,12,0.106162, 0,12885
4,0,12,360.476, 7064437,3039738
4,1,12,361.943, 7064437,3039738
4,2,12,360.113, 7064437,3039738
4,3,12,351.514, 7064437,3039738
4,4,12,348.733, 7064437,3039738
4,5,12,347.48, 7064437,3039738
4,6,12,347.169, 7064437,3039738
4,7,12,348.121, 7064437,3039738
4,8,12,347.935, 7064437,3039738
4,9,12,347.79, 7064437,3039738
1,0,13,0.333283, 2202,102620| 326160
1,1,13,0.264741, 2202,102620| 326160
1,2,13,0.314069, 2202,102620| 326160
1,3,13,0.269254, 2202,102620| 326160
1,4,13,0.267232, 2202,102620| 326160
1,5,13,0.282353, 2202,102620| 326160
1,6,13,0.277356, 2202,102620| 326160
1,7,13,0.299302, 2202,102620| 326160
1,8,13,0.281458, 2202,102620| 326160
1,9,13,0.269124, 2202,102620| 326160
3,0,13,0.114384, 0,12885| 25406
3,1,13,0.128955, 0,12885| 25406
3,2,13,0.125163, 0,12885| 25406
3,3,13,0.120944, 0,12885| 25406
3,4,13,0.117267, 0,12885| 25406
3,5,13,0.109024, 0,12885| 25406
3,6,13,0.124178, 0,12885| 25406
3,7,13,0.115962, 0,12885| 25406
3,8,13,0.111722, 0,12885| 25406
3,9,13,0.117774, 0,12885| 25406
1,0,14,0.285127, 3833,223540
1,1,14,0.355937, 3833,223540
1,2,14,0.237857, 3833,223540
1,3,14,0.476746, 3833,223540
1,4,14,0.323465, 3833,223540
1,5,14,0.342018, 3833,223540
1,6,14,0.282438, 3833,223540
1,7,14,0.251506, 3833,223540
1,8,14,0.293182, 3833,223540
1,9,14,0.265957, 3833,223540
3,0,14,0.0794172, 0,12521
3,1,14,0.084554, 0,12521
3,2,14,0.0826499, 0,12521
3,3,14,0.0786648, 0,12521
3,4,14,0.0752795, 0,12521
3,5,14,0.068742, 0,12521
3,6,14,0.0835562, 0,12521
3,7,14,0.0906079, 0,12521
3,8,14,0.0703123, 0,12521
3,9,14,0.074224, 0,12521
1,0,15,0.713559, 6767,223540| 708066
1,1,15,0.703981, 6767,223540| 708066
1,2,15,0.746812, 6767,223540| 708066
1,3,15,0.974794, 6767,223540| 708066
1,4,15,0.760427, 6767,223540| 708066
1,5,15,0.747591, 6767,223540| 708066
1,6,15,0.722418, 6767,223540| 708066
1,7,15,0.723472, 6767,223540| 708066
1,8,15,0.741585, 6767,223540| 708066
1,9,15,0.742492, 6767,223540| 708066
3,0,15,0.14382, 0,12521| 22881
3,1,15,0.127144, 0,12521| 22881
3,2,15,0.144553, 0,12521| 22881
3,3,15,0.162282, 0,12521| 22881
3,4,15,0.125793, 0,12521| 22881
3,5,15,0.14249, 0,12521| 22881
3,6,15,0.191917, 0,12521| 22881
3,7,15,0.197564, 0,12521| 22881
3,8,15,0.175083, 0,12521| 22881
3,9,15,0.145264, 0,12521| 22881
1,0,16,0.789289, 12209,484526
1,1,16,0.746006, 12209,484526
1,2,16,0.755043, 12209,484526
1,3,16,0.742272, 12209,484526
1,4,16,0.768681, 12209,484526
1,5,16,0.75848, 12209,484526
1,6,16,0.977068, 12209,484526
1,7,16,0.845166, 12209,484526
1,8,16,0.768141, 12209,484526
1,9,16,0.761549, 12209,484526
3,0,16,0.0809619, 0,10360
3,1,16,0.0850277, 0,10360
3,2,16,0.0998859, 0,10360
3,3,16,0.0791821, 0,10360
3,4,16,0.083441, 0,10360
3,5,16,0.0914371, 0,10360
3,6,16,0.0849004, 0,10360
3,7,16,0.0818384, 0,10360
3,8,16,0.0826452, 0,10360
3,9,16,0.0819995, 0,10360
1,0,17,1.92882, 22138,484526| 1528490
1,1,17,2.00157, 22138,484526| 1528490
1,2,17,1.83892, 22138,484526| 1528490
1,3,17,1.83898, 22138,484526| 1528490
1,4,17,2.06451, 22138,484526| 1528490
1,5,17,1.82653, 22138,484526| 1528490
1,6,17,1.89467, 22138,484526| 1528490
1,7,17,2.07801, 22138,484526| 1528490
1,8,17,1.8884, 22138,484526| 1528490
1,9,17,1.9306, 22138,484526| 1528490
3,0,17,0.155774, 0,10360| 17126
3,1,17,0.142095, 0,10360| 17126
3,2,17,0.194834, 0,10360| 17126
3,3,17,0.140778, 0,10360| 17126
3,4,17,0.148354, 0,10360| 17126
3,5,17,0.189414, 0,10360| 17126
3,6,17,0.153031, 0,10360| 17126
3,7,17,0.139232, 0,10360| 17126
3,8,17,0.140542, 0,10360| 17126
3,9,17,0.142102, 0,10360| 17126
1,0,18,2.3119, 40298,1043964
1,1,18,2.42874, 40298,1043964
1,2,18,2.46182, 40298,1043964
1,3,18,2.39199, 40298,1043964
1,4,18,2.22003, 40298,1043964
1,5,18,2.42453, 40298,1043964
1,6,18,2.17345, 40298,1043964
1,7,18,2.38252, 40298,1043964
1,8,18,2.26637, 40298,1043964
1,9,18,2.19551, 40298,1043964
3,0,18,0.0921659, 0,6766
3,1,18,0.0998061, 0,6766
3,2,18,0.0845182, 0,6766
3,3,18,0.0889101, 0,6766
3,4,18,0.0885897, 0,6766
3,5,18,0.118749, 0,6766
3,6,18,0.0933011, 0,6766
3,7,18,0.0858688, 0,6766
3,8,18,0.0845129, 0,6766
3,9,18,0.126876, 0,6766
1,0,19,5.44718, 73387,1043964| 3281492
1,1,19,5.39404, 73387,1043964| 3281492
1,2,19,5.43905, 73387,1043964| 3281492
1,3,19,5.42403, 73387,1043964| 3281492
1,4,19,5.45972, 73387,1043964| 3281492
1,5,19,5.61415, 73387,1043964| 3281492
1,6,19,5.73123, 73387,1043964| 3281492
1,7,19,5.69929, 73387,1043964| 3281492
1,8,19,5.68685, 73387,1043964| 3281492
1,9,19,5.76075, 73387,1043964| 3281492
3,0,19,0.157624, 0,6766| 11325
3,1,19,0.162161, 0,6766| 11325
3,2,19,0.165393, 0,6766| 11325
3,3,19,0.161807, 0,6766| 11325
3,4,19,0.157052, 0,6766| 11325
3,5,19,0.156161, 0,6766| 11325
3,6,19,0.159209, 0,6766| 11325
3,7,19,0.168508, 0,6766| 11325
3,8,19,0.162524, 0,6766| 11325
3,9,19,0.154729, 0,6766| 11325
1,0,20,8.44971, 133342,2237528
1,1,20,8.20145, 133342,2237528
1,2,20,8.30554, 133342,2237528
1,3,20,8.31185, 133342,2237528
1,4,20,8.25016, 133342,2237528
1,5,20,8.10205, 133342,2237528
1,6,20,8.32093, 133342,2237528
1,7,20,8.1621, 133342,2237528
1,8,20,8.19983, 133342,2237528
1,9,20,8.21814, 133342,2237528
3,0,20,0.0974317, 0,4559
3,1,20,0.100621, 0,4559
3,2,20,0.0992668, 0,4559
3,3,20,0.094969, 0,4559
3,4,20,0.0888383, 0,4559
3,5,20,0.0941131, 0,4559
3,6,20,0.114048, 0,4559
3,7,20,0.0901241, 0,4559
3,8,20,0.101611, 0,4559
3,9,20,0.0956032, 0,4559
